Name,Pass_Efficiency_Score,Rush_Efficiency_Score,Experience_Score,Measurables_Score,Cluster,Round,size
Ben Roethlisberger,0.8299609428256469,-0.42074203809919053,0.5852622240722688,1.064805792913086,Group 3,1,1.118033988749895
Kevin O'Connell,-1.307904643557504,0.7862630359707407,0.9129638237319952,1.0811686140881935,Group 3,3,0.6454972243679028
Tom Brandstater,-0.928052260974442,-0.3213007102884191,-0.31523373644953145,0.5517836575361036,Group 3,6,0.4564354645876384
Joe Flacco,-0.5597058391644715,-0.5282709750427309,-0.26793885494258,1.9654611383100085,Group 3,1,1.118033988749895
Logan Thomas,-1.1090257004782478,0.7432157275895709,1.2280439442827982,1.973670798926179,Group 3,4,0.5590169943749475
Brad Sorensen,-0.323349692487055,-0.7613934668146415,0.3949116241219016,0.6977045099477318,Group 3,7,0.4225771273642583
John Skelton,-0.5796975533895101,-0.16426750192516415,0.8837108261880531,1.6390735426371936,Group 3,5,0.5
Matt Schaub,-0.08812250459841171,-1.0156228387713384,-0.13818926387008132,1.4229680565220362,Group 3,3,0.6454972243679028
Blaine Gabbert,-0.49389266024568307,0.2378500371576088,-0.10476509617583012,0.7518553414700095,Group 3,1,1.118033988749895
Charlie Whitehurst,-1.09075499265044,-0.2489407711094075,0.7174136852086018,0.5638537021775429,Group 3,3,0.6454972243679028
Josh Freeman,-1.0549055378399321,-0.182233068609494,0.25957873077003457,1.77564433748788,Group 3,1,1.118033988749895
E.J. Manuel,0.768236928976027,0.3710602224060523,-0.010824213761286542,1.319885970570538,Group 3,1,1.118033988749895
John Navarre,-0.9665811299385676,-1.3827782325762088,0.11872012867616774,1.074420462938867,Group 3,7,0.4225771273642583
Cody Pickett,-1.0341636729361676,-0.33725604051042996,0.6239785641103252,0.16902372394393542,Group 3,7,0.4225771273642583
Jimmy Clausen,-0.1735832619541716,-1.048378282093237,-0.09663875387518689,1.7222030677911448,Group 3,2,0.7905694150420948
Carson Palmer,-0.5951861011140893,-0.6192204557727167,0.9492034241739602,0.5581169615085174,Group 3,1,1.118033988749895
Byron Leftwich,0.8008196775398639,-1.1027235888962703,0.5704176672106038,1.3267529610926492,Group 3,1,1.118033988749895
Jason Campbell,0.6114033835622372,0.10273435542778225,-0.31202716860077323,1.041119639523758,Group 3,1,1.118033988749895
Jordan Palmer,-0.23403237128423232,-0.7998844565453158,0.4880672601377524,0.8951933017892624,Group 3,6,0.4564354645876384
Dave Ragone,-0.3381509559814907,0.08406075971237152,0.5298895488428716,0.9170478855184337,Group 3,3,0.6454972243679028
Jeff Rowe,-0.6866162486062128,0.1648507729699695,0.5419653361815095,0.9204771764643319,Group 3,5,0.5
Joe Germaine,0.8097251547582852,-0.4313574762149986,-1.2321208850197587,-1.6614734665116297,Group 4,4,0.5590169943749475
Akili Smith,0.9626399336802204,0.5745631218203151,-1.2435144973097587,0.12297293979975814,Group 4,1,1.118033988749895
Omar Jacobs,1.6263972778438989,-0.10351919491265912,-0.6483523561594162,0.7627333921015701,Group 4,5,0.5
Bruce Gradkowski,1.2654435664329515,0.43345508397012966,0.38855799182835077,-0.39273067435123227,Group 4,6,0.4564354645876384
Aaron Rodgers,0.7619364689775865,0.3588388238103539,-0.85904953196915,-0.27784547505154195,Group 4,1,1.118033988749895
Stefan LeFors,1.4393224117024441,0.8860174602373458,-0.9454429963522406,-0.8842500275911106,Group 4,4,0.5590169943749475
Alex Smith,1.7628390141256436,0.7117529067925497,-0.5807206900624624,0.8324066834556879,Group 4,1,1.118033988749895
A.J. McCarron,1.623744925528439,-0.9090030555686168,-0.494227703858584,-0.45504359335085987,Group 4,5,0.5
Cam Newton,2.7437561428099837,1.2001652590102774,-1.2453740820682637,2.0835251592023036,Group 4,1,1.118033988749895
Blake Bortles,1.0090953292468479,-0.01735486547472279,-0.32654792103573815,1.2203530339455047,Group 4,1,1.118033988749895
David Carr,0.8244079145454135,-0.12604535582267848,-0.4544056745473768,0.339456874315018,Group 4,1,1.118033988749895
Johnny Manziel,1.7447527258611206,1.3044087937107776,0.1831076119415631,-0.6331637665388079,Group 4,1,1.118033988749895
